date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change
2021-11-17 05:01:07+01,7859c737-7ba0-4506-9ebd-867609d63371,1.599,1.829,1.769,0,1,1
2021-11-17 05:17:08+01,292d33c7-5c95-4bcd-818d-e47b1096d2de,1.619,1.809,1.749,1,1,1
2021-11-17 05:31:07+01,a85d3547-c83c-496b-aef7-039251357ea2,1.599,1.829,1.769,1,1,1
2021-11-17 05:48:08+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.599,1.769,1.709,1,1,1
2021-11-17 05:48:08+01,17841c66-b61d-444a-8618-a551734246b6,1.599,1.809,1.749,0,1,1
2021-11-17 05:48:08+01,e1a15081-2627-9107-e040-0b0a3dfe563c,1.549,1.739,1.679,1,1,1
2021-11-17 05:53:09+01,292d33c7-5c95-4bcd-818d-e47b1096d2de,1.599,1.809,1.749,1,0,0
2021-11-17 06:30:08+01,a85d3547-c83c-496b-aef7-039251357ea2,1.609,1.819,1.759,1,1,1
2021-11-17 06:53:13+01,e1a15081-2627-9107-e040-0b0a3dfe563c,1.609,1.809,1.749,1,1,1
2021-11-17 06:53:13+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.609,1.809,1.749,1,1,1
2021-11-17 07:15:08+01,a85d3547-c83c-496b-aef7-039251357ea2,1.599,1.829,1.769,1,1,1
2021-11-17 07:23:09+01,e1a15081-2627-9107-e040-0b0a3dfe563c,1.579,1.779,1.719,1,1,1
2021-11-17 07:23:09+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.609,1.799,1.749,0,1,0
2021-11-17 07:26:07+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.609,1.799,1.739,0,0,1
2021-11-17 07:43:12+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.589,1.789,1.729,1,1,1
2021-11-17 08:00:08+01,a85d3547-c83c-496b-aef7-039251357ea2,1.569,1.719,1.659,1,1,1
2021-11-17 08:11:07+01,e1a15081-2627-9107-e040-0b0a3dfe563c,1.539,1.779,1.719,1,0,0
2021-11-17 08:17:09+01,292d33c7-5c95-4bcd-818d-e47b1096d2de,1.569,1.719,1.659,1,1,1
2021-11-17 08:23:08+01,7859c737-7ba0-4506-9ebd-867609d63371,1.579,1.759,1.699,1,1,1
2021-11-17 08:26:07+01,e1a15081-2627-9107-e040-0b0a3dfe563c,1.539,1.679,1.619,0,1,1
2021-11-17 08:32:08+01,17841c66-b61d-444a-8618-a551734246b6,1.569,1.719,1.659,1,1,1
2021-11-17 08:33:08+01,7859c737-7ba0-4506-9ebd-867609d63371,1.539,1.759,1.699,1,0,0
2021-11-17 08:49:09+01,292d33c7-5c95-4bcd-818d-e47b1096d2de,1.539,1.709,1.649,1,1,1
2021-11-17 08:52:07+01,17841c66-b61d-444a-8618-a551734246b6,1.539,1.719,1.659,1,0,0
